08 August 2017 18:51:01
Time (ms),HR (bpm),R-R (ms)
619981,176,351
620329,176,348
620674,177,345
621000,177,326
621366,177,366
621712,177,346
622052,177,340
622394,177,342
622742,177,348
623089,177,347
623427,177,338
623774,177,347
624120,177,346
624461,177,341
624801,178,340
625150,178,349
625493,178,343
625834,178,341
626149,178,315
626517,178,368
626836,179,319
627197,179,361
627540,179,343
627885,179,345
628228,179,343
628565,179,337
628911,179,346
629253,179,342
629591,179,338
629931,179,340
630273,179,342
630617,179,344
630950,179,333
631293,179,343
631637,179,344
631978,179,341
632312,179,334
632659,179,347
633001,180,342
633338,180,337
633677,180,339
634020,180,343
634294,180,274
634664,180,370
635027,181,363
635369,181,342
635710,181,341
636044,181,334
636389,181,345
636730,181,341
637066,181,336
637401,181,335
637714,181,313
638082,180,368
638414,180,332
638758,180,344
639095,180,337
639439,180,344
639770,180,331
640112,180,342
640452,181,340
640781,181,329
641126,181,345
641458,181,332
641805,181,347
642140,181,335
642484,181,344
642819,181,335
643134,181,315
643495,181,361
643827,181,332
644173,181,346
644506,181,333
644849,181,343
645167,181,318
645517,181,350
645859,181,342
646200,181,341
646538,181,338
646870,181,332
647215,181,345
647528,181,313
647884,181,356
648224,181,340
648565,181,341
648879,181,314
649233,181,354
649574,181,341
649912,181,338
650250,181,338
650581,181,331
650918,181,337
651237,181,319
651595,181,358
651926,181,331
652265,181,339
652603,181,338
652939,181,336
653273,181,334
653614,181,341
653956,181,342
654294,181,338
654632,181,338
654975,181,343
655315,181,340
655653,181,338
655992,181,339
656338,181,346
656681,180,343
657021,180,340
657360,180,339
657706,180,346
658053,180,347
658378,180,325
658733,179,355
659082,179,349
659409,179,327
659773,179,364
660114,179,341
660466,179,352
660795,178,329
661158,178,363
661506,178,348
661857,178,351
662189,178,332
662555,178,366
662905,177,350
663258,177,353
663611,177,353
663956,176,345
664309,176,353
664664,176,355
665017,175,353
665363,175,346
665719,175,356
666055,175,336
666427,175,372
666776,174,349
667134,174,358
667471,174,337
667827,174,356
668198,174,371
668555,174,357
668912,173,357
669264,173,352
669608,173,344
669965,173,357
670322,173,357
670695,173,373
671055,172,360
671416,172,361
671776,172,360
672133,171,357
672497,171,364
672842,171,345
673222,171,380
673577,171,355
673943,170,366
674290,170,347
674676,170,386
675037,169,361
675405,169,368
675756,169,351
676127,169,371
676510,169,383
676884,169,374
677257,168,373
677627,168,370
678003,168,376
678378,167,375
678754,167,376
679130,165,376
679511,165,381
679892,165,381
680269,164,377
680652,164,383
681035,164,383
681418,163,383
681798,163,380
682185,161,387
682573,161,388
682956,161,383
683345,160,389
683732,160,387
684103,160,371
684508,160,405
684900,160,392
685293,159,393
685682,159,389
686078,159,396
686475,158,397
686853,158,378
687265,157,412
687662,157,397
688058,157,396
688438,156,380
688833,156,395
689231,156,398
689628,155,397
690045,155,417
690426,155,381
690824,155,398
691226,155,402
691628,154,402
692048,154,420
692430,154,382
692836,154,406
693237,154,401
693640,153,403
694043,153,403
694441,153,398
694847,153,406
695251,153,404
695650,152,399
696061,152,411
696464,152,403
696870,152,406
697298,152,428
697688,152,390
698100,152,412
698511,151,411
698940,151,429
699335,151,395
699751,150,416
700167,150,416
700601,149,434
700999,149,398
701420,149,421
701843,149,423
702265,149,422
702713,147,448
703120,147,407
703552,147,432
704005,146,453
704422,146,417
704861,145,439
705306,145,445
705754,143,448
706197,143,443
706645,143,448
707097,141,452
707548,141,451
708020,140,472
708452,140,432
708912,139,460
709371,139,459
