04 August 2017 12:53:19
Time (ms),HR (bpm),R-R (ms)
1062989,66,877
1063757,66,768
1064479,68,722
1065213,68,734
1065944,68,731
1066745,68,801
1067670,68,925
1068625,68,955
1069562,68,937
1070448,68,886
1071328,68,880
1072208,68,880
1073104,68,896
1074035,68,931
1074988,68,953
1075926,68,938
1076847,68,921
1077728,68,881
1078543,68,815
1079337,68,794
1080142,68,805
1080980,68,838
1081849,68,869
1082746,68,897
1083649,68,903
1084521,68,872
1085385,69,864
1086267,69,882
1087144,70,877
1088019,70,875
1088881,70,862
1089759,70,878
1090668,70,909
1091539,70,871
1092383,70,844
1093152,70,769
1093867,70,715
1094576,70,709
1095251,70,675
1095905,70,654
1096572,70,667
1097273,71,701
1098139,71,866
1099165,73,1026
1100082,73,917
1101035,73,953
1101998,73,963
1102910,73,912
1103793,73,883
1104669,73,876
1105559,72,890
1106382,72,823
1107228,72,846
1108093,72,865
1108989,71,896
1109925,71,936
1110863,71,938
1111727,68,864
1112549,68,822
1113386,68,837
1114233,68,847
1115105,69,872
1116040,69,935
1117003,69,963
1117964,69,961
1118835,69,871
1119650,69,815
1120444,69,794
1121228,69,784
1122062,69,834
1122905,69,843
1123782,69,877
1124641,69,859
1125483,70,842
1126311,70,828
1127119,71,808
1127900,71,781
1128663,71,763
1129415,72,752
1130172,73,757
1130912,73,740
1131677,74,765
1132449,74,772
1133234,76,785
1134019,76,785
1134805,76,786
1135593,77,788
1136353,78,760
1137088,78,735
1137812,79,724
1138525,79,713
1139237,79,712
1139914,79,677
1140586,80,672
1141242,81,656
1141884,81,642
1142511,83,627
1143176,83,665
1143828,84,652
1144536,85,708
1145387,87,851
1146305,87,918
1147297,87,992
1148307,87,1010
1149287,87,980
1150174,87,887
1151044,87,870
1151941,86,897
1152886,84,945
1153850,82,964
1154805,80,955
1155726,78,921
1156664,73,938
1157595,73,931
1158491,70,896
1159400,68,909
1160323,65,923
1161244,65,921
1162158,65,914
1163077,65,919
1163981,65,904
1164893,66,912
1165809,66,916
1166722,66,913
1167633,66,911
1168533,66,900
1169374,66,841
1170219,66,845
1171062,67,843
